mean_temp,max_temp,min_temp,LOESS_residuals
0.4929166666666667,8.88,-7.0,-1.1360039505436288
3.4741666666666666,13.27,-3.96,3.5567504832601293
3.615,9.98,-2.79,4.353292672384025
0.4945833333333334,6.09,-1.4,0.190864468613827
-1.9808333333333332,0.94,-5.09,-0.43296009752090103
-2.1095833333333336,-0.36,-4.56,-1.199263997427299
-0.9804166666666667,2.62,-2.88,-1.0547734726299178
-1.29,0.02,-2.31,-1.2273343817637492
-3.799166666666667,0.91,-9.69,-3.0653678334750767
-0.6166666666666666,5.57,-7.08,-0.5793138578998883
2.0679166666666666,6.7,-3.62,1.7431815574735656
-1.7441666666666666,7.31,-6.46,-0.1504515184128694
-0.31666666666666665,7.86,-7.37,0.5968633546964428
3.6983333333333337,9.25,-2.18,3.815053848784085
1.6325,8.45,-4.12,1.4533281334198789
1.29875,6.18,-3.73,1.7525823584163822
-0.9566666666666666,4.78,-5.96,-1.4722612789636988
-3.4608333333333334,-0.73,-6.13,-3.3480584640238975
-5.26625,-0.07,-12.13,-3.488741129103897
-3.2433333333333336,-0.57,-8.34,-2.167836677461145
-3.1675,5.31,-11.88,-2.8473880218662404
2.555,12.31,-5.02,1.8767457445889373
3.5533333333333332,13.63,-5.83,2.3921474306246155
6.480833333333333,15.17,-1.42,2.79960036299444
5.740416666666667,14.08,-1.18,1.6604062330586489
6.127916666666667,14.17,-2.84,2.527271544743423
3.8945833333333333,12.63,-0.31,0.04058929192577976
0.5912499999999999,3.56,-0.71,-2.1909966277285258
-1.4895833333333333,2.35,-6.33,-4.445454441356515
-0.05458333333333335,10.9,-8.49,-2.8069292838071283
5.740833333333334,15.13,-2.5,-0.12785213063681944
8.269166666666667,19.23,-2.32,1.0481101851209011
9.1175,18.59,-1.0,0.8368944127460605
10.831666666666665,18.57,0.16,1.763391540708608
10.7275,18.2,3.13,3.4560829552386334
9.229583333333332,17.59,1.57,2.983326550490599
5.1499999999999995,14.5,-1.08,-0.5266343862041172
6.110833333333333,15.63,-3.25,-2.6517524203920697
8.535833333333333,17.88,-2.39,-0.784137356549329
